dataset,assignment,id,link,start,code,startAssignment
Fall2017,polygonMakerLab,6cabf422-25e6-480e-9b80-999e72d27f34,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=6cabf422-25e6-480e-9b80-999e72d27f34&assignment=polygonMakerLab&start=53461&end=64195&snapshots=true,53461,,
Fall2017,polygonMakerLab,76ab0bc5-d94f-4db3-be21-fa34c33bc687,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=76ab0bc5-d94f-4db3-be21-fa34c33bc687&assignment=polygonMakerLab&start=69337&end=79324&snapshots=true,69337,,
Fall2017,polygonMakerLab,773cd141-86c0-498d-8456-cddb9d0c6c4c,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=773cd141-86c0-498d-8456-cddb9d0c6c4c&assignment=polygonMakerLab&start=54010&end=65929&snapshots=true,54010,,
Fall2017,polygonMakerLab,79ed7550-3461-4350-be9d-64668551b04d,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=79ed7550-3461-4350-be9d-64668551b04d&assignment=polygonMakerLab&start=87611&end=94009&snapshots=true,87611,,
Fall2017,polygonMakerLab,7d175163-6311-4540-bc8b-32b782f58715,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=7d175163-6311-4540-bc8b-32b782f58715&assignment=polygonMakerLab&start=96223&end=99815&snapshots=true,96223,,
Fall2017,polygonMakerLab,7e346ffd-ef93-42eb-81fb-2c769fed9485,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=7e346ffd-ef93-42eb-81fb-2c769fed9485&assignment=polygonMakerLab&start=54282&end=60897&snapshots=true,54282,,
Fall2017,polygonMakerLab,8a3f1258-e321-41ea-8506-25aec34a00c2,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=8a3f1258-e321-41ea-8506-25aec34a00c2&assignment=none&start=66711&end=78810&snapshots=true,66711,,
Fall2017,polygonMakerLab,9b9c440c-16f3-4c7b-af68-59d2f35f64ed,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=9b9c440c-16f3-4c7b-af68-59d2f35f64ed&assignment=polygonMakerLab&start=94656&end=100367&snapshots=true,94656,,
Fall2017,polygonMakerLab,9d8179f5-c788-4b3e-8ec5-43ce1cb1cdf6,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=9d8179f5-c788-4b3e-8ec5-43ce1cb1cdf6&assignment=none&start=87336&end=93419&snapshots=true,87336,,
Fall2017,polygonMakerLab,9f598803-a750-4f0b-b048-31b18ea1ebd9,http://arena.csc.ncsu.edu/history/fall2017/logging/view/display.php?id=9f598803-a750-4f0b-b048-31b18ea1ebd9&assignment=none&start=51111&end=59214&snapshots=true,51111,,
