dataset,assignment,id,link,start,code,
Spring2017,polygonMakerLab,e52b1cbe-26ea-4a84-a87d-dc647b773755,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=e52b1cbe-26ea-4a84-a87d-dc647b773755&assignment=polygonMakerLab&start=92572&end=96511&snapshots=true,92572,,
Spring2017,polygonMakerLab,f3a8b447-c7ad-4fe5-be27-12e2a5becdba,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=f3a8b447-c7ad-4fe5-be27-12e2a5becdba&assignment=polygonMakerLab&start=57674&end=65555&snapshots=true,57674,,
Spring2017,polygonMakerLab,f892149b-5d9f-48e2-95b9-9d7fa2948a19,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=f892149b-5d9f-48e2-95b9-9d7fa2948a19&assignment=polygonMakerLab&start=56084&end=64416&snapshots=true,56084,,
Spring2017,polygonMakerLab,fa061b6a-8be7-487e-a675-b872de46a0ff,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=fa061b6a-8be7-487e-a675-b872de46a0ff&assignment=polygonMakerLab&start=92354&end=97844&snapshots=true,92354,,
Spring2017,squiralHW,09fb7e85-bd52-4de9-8661-cbcf8273bc89,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=09fb7e85-bd52-4de9-8661-cbcf8273bc89&assignment=squiralHW&start=150297&end=152622&snapshots=true,150297,,
Spring2017,squiralHW,0bf8319c-8bea-434b-86a9-d5bac19dbd36,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=0bf8319c-8bea-434b-86a9-d5bac19dbd36&assignment=squiralHW&start=128111&end=130004&snapshots=true,128111,,
Spring2017,squiralHW,110dd5c3-db33-4c30-afab-b0443567617b,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=110dd5c3-db33-4c30-afab-b0443567617b&assignment=squiralHW&start=105743&end=106127&snapshots=true,105743,,
Spring2017,squiralHW,182ec14a-ae2d-446d-b2ce-7991a1a54d15,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=182ec14a-ae2d-446d-b2ce-7991a1a54d15&assignment=squiralHW&start=75570&end=76558&snapshots=true,75570,,
Spring2017,squiralHW,1b61f46a-44f9-4c2d-89de-038b42394771,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=1b61f46a-44f9-4c2d-89de-038b42394771&assignment=squiralHW&start=89022&end=89957&snapshots=true,89022,89022,
Spring2017,squiralHW,283643ab-c7bb-46e9-afb4-cee7b9e15924,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=283643ab-c7bb-46e9-afb4-cee7b9e15924&assignment=squiralHW&start=83327&end=85379&snapshots=true,83327,,
Spring2017,squiralHW,2f4af7da-cb02-476a-b8f7-3e6f58906d73,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=2f4af7da-cb02-476a-b8f7-3e6f58906d73&assignment=squiralHW&start=111246&end=114139&snapshots=true,111246,,
Spring2017,squiralHW,321f8ffa-1d62-484b-9d5c-5c2a9885da53,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=321f8ffa-1d62-484b-9d5c-5c2a9885da53&assignment=squiralHW&start=111382&end=114269&snapshots=true,111382,,
Spring2017,squiralHW,3353368b-af52-4197-a2b3-807d20089c1c,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=3353368b-af52-4197-a2b3-807d20089c1c&assignment=squiralHW&start=136937&end=137579&snapshots=true,136937,,
Spring2017,squiralHW,3d11710d-d204-471a-9d48-2da2ae9d6a00,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=3d11710d-d204-471a-9d48-2da2ae9d6a00&assignment=squiralHW&start=139117&end=139296&snapshots=true,139117,,
Spring2017,squiralHW,42395bda-e8e4-44f6-8cd1-b37d2321dd33,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=42395bda-e8e4-44f6-8cd1-b37d2321dd33&assignment=squiralHW&start=60901&end=63233&snapshots=true,60901,,
Spring2017,squiralHW,425532b0-be97-40b0-91fd-4a5dfaef477f,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=425532b0-be97-40b0-91fd-4a5dfaef477f&assignment=squiralHW&start=100075&end=165346&snapshots=true,100075,101980,
Spring2017,squiralHW,53f717ca-22b2-4a0d-a57a-2dd459268f82,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=53f717ca-22b2-4a0d-a57a-2dd459268f82&assignment=squiralHW&start=75641&end=76560&snapshots=true,75641,,
Spring2017,squiralHW,54c87b1c-6069-4f84-94a9-8dd23a32adef,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=54c87b1c-6069-4f84-94a9-8dd23a32adef&assignment=squiralHW&start=107957&end=108187&snapshots=true,107957,,
Spring2017,squiralHW,5611192f-7486-44b2-b9fe-392eb43468fa,http://arena.csc.ncsu.edu/history/spring2017/logging/view/display.php?id=5611192f-7486-44b2-b9fe-392eb43468fa&assignment=squiralHW&start=101988&end=102200&snapshots=true,101988,,
